timestamp,rule_count,agent_cpu_pct,agent_mem_mb,node_cpu_pct,node_mem_used_mb,node_mem_total_mb
2026-02-12T21:47:49,50,1.00,104.8,2.1,2950,63960
2026-02-12T21:47:50,50,0.00,104.8,2.3,2950,63960
2026-02-12T21:47:51,50,0.00,104.8,2.5,2959,63960
2026-02-12T21:47:52,50,0.00,104.8,2.4,2953,63960
2026-02-12T21:47:53,50,1.00,104.8,2.2,2951,63960
2026-02-12T21:47:54,50,0.00,104.8,2.2,2939,63960
2026-02-12T21:47:55,50,1.00,104.8,2.4,2943,63960
2026-02-12T21:47:56,50,1.00,104.8,2.3,2937,63960
2026-02-12T21:47:57,50,0.00,104.8,2.2,2928,63960
