timestamp,rule_count,agent_cpu_pct,agent_mem_mb,node_cpu_pct,node_mem_used_mb,node_mem_total_mb
2026-02-12T21:37:05,5,0.99,181.8,0.6,2822,63960
2026-02-12T21:37:06,5,1.00,182.5,0.7,2819,63960
2026-02-12T21:37:07,5,0.00,182.5,0.7,2814,63960
2026-02-12T21:37:08,5,0.00,183.3,0.6,2804,63960
2026-02-12T21:37:10,5,0.00,183.7,0.6,2795,63960
2026-02-12T21:37:11,5,1.00,184.0,1.5,2787,63960
2026-02-12T21:37:12,5,0.00,184.4,0.6,2784,63960
2026-02-12T21:37:13,5,0.00,184.8,0.6,2779,63960
2026-02-12T21:37:14,5,0.00,184.8,0.6,2776,63960
2026-02-12T21:37:15,5,1.99,185.5,1.0,2784,63960
