timestamp,rule_count,agent_cpu_pct,agent_mem_mb,node_cpu_pct,node_mem_used_mb,node_mem_total_mb
2026-02-12T21:51:56,100,1.00,132.5,2.1,3397,63960
2026-02-12T21:51:57,100,0.99,132.5,2.3,3396,63960
2026-02-12T21:51:58,100,0.00,132.5,2.2,3391,63960
2026-02-12T21:51:59,100,0.00,132.5,2.2,3388,63960
2026-02-12T21:52:00,100,0.00,132.5,2.2,3383,63960
2026-02-12T21:52:01,100,0.99,132.5,2.4,3394,63960
2026-02-12T21:52:02,100,0.00,132.5,2.2,3393,63960
2026-02-12T21:52:03,100,0.00,132.5,2.4,3394,63960
2026-02-12T21:52:04,100,0.00,132.5,2.6,3394,63960
2026-02-12T21:52:05,100,0.99,132.5,2.3,3397,63960
