label,connections,trial,duration,rps,p50_us,p75_us,p90_us,p99_us,lat_avg_us,lat_sd_us,total_reqs,transfer_kbps,errors
vanilla,100,1,30s,97695.29,17890000.00,22660000.00,25280000.00,26850000.00,18015953.00,5222119.00,2930820,16793.60,0
vanilla,1000,1,30s,92473.89,17970000.00,22230000.00,24640000.00,26130000.00,17901458.00,4934889.00,2774164,15892.48,0
