label,rps_target,connections,trial,latency_us,percentile
vanilla,10000,10,1,537.000,0.025166
vanilla,10000,10,1,538.000,0.025333
vanilla,10000,10,1,539.000,0.025500
vanilla,10000,10,1,539.000,0.025666
vanilla,10000,10,1,540.000,0.025833
vanilla,10000,10,1,541.000,0.026000
vanilla,10000,10,1,542.000,0.026166
vanilla,10000,10,1,542.000,0.026333
vanilla,10000,10,1,543.000,0.026500
vanilla,10000,10,1,544.000,0.026666
vanilla,10000,10,1,545.000,0.026833
vanilla,10000,10,1,545.000,0.027000
vanilla,10000,10,1,546.000,0.027166
vanilla,10000,10,1,547.000,0.027333
vanilla,10000,10,1,547.000,0.027500
vanilla,10000,10,1,548.000,0.027666
vanilla,10000,10,1,549.000,0.027833
vanilla,10000,10,1,550.000,0.028000
vanilla,10000,10,1,550.000,0.028166
vanilla,10000,10,1,551.000,0.028333
vanilla,10000,10,1,551.000,0.028500
vanilla,10000,10,1,552.000,0.028666
vanilla,10000,10,1,553.000,0.028833
vanilla,10000,10,1,554.000,0.029000
vanilla,10000,10,1,554.000,0.029166
vanilla,10000,10,1,555.000,0.029333
vanilla,10000,10,1,555.000,0.029500
vanilla,10000,10,1,556.000,0.029666
vanilla,10000,10,1,557.000,0.029833
vanilla,10000,10,1,558.000,0.030000
vanilla,10000,10,1,558.000,0.030166
vanilla,10000,10,1,559.000,0.030333
vanilla,10000,10,1,559.000,0.030500
vanilla,10000,10,1,560.000,0.030666
vanilla,10000,10,1,561.000,0.030833
vanilla,10000,10,1,561.000,0.031000
vanilla,10000,10,1,562.000,0.031166
vanilla,10000,10,1,562.000,0.031333
vanilla,10000,10,1,563.000,0.031500
vanilla,10000,10,1,564.000,0.031666
vanilla,10000,10,1,564.000,0.031833
vanilla,10000,10,1,565.000,0.032000
vanilla,10000,10,1,566.000,0.032166
vanilla,10000,10,1,567.000,0.032333
vanilla,10000,10,1,567.000,0.032500
vanilla,10000,10,1,568.000,0.032666
vanilla,10000,10,1,568.000,0.032833
vanilla,10000,10,1,569.000,0.033000
vanilla,10000,10,1,570.000,0.033166
vanilla,10000,10,1,570.000,0.033333
vanilla,10000,10,1,571.000,0.033500
vanilla,10000,10,1,571.000,0.033666
vanilla,10000,10,1,572.000,0.033833
vanilla,10000,10,1,573.000,0.034000
vanilla,10000,10,1,573.000,0.034166
vanilla,10000,10,1,574.000,0.034333
vanilla,10000,10,1,575.000,0.034500
vanilla,10000,10,1,575.000,0.034666
vanilla,10000,10,1,576.000,0.034833
vanilla,10000,10,1,577.000,0.035000
vanilla,10000,10,1,577.000,0.035166
vanilla,10000,10,1,578.000,0.035333
vanilla,10000,10,1,579.000,0.035500
vanilla,10000,10,1,579.000,0.035666
vanilla,10000,10,1,580.000,0.035833
vanilla,10000,10,1,581.000,0.036000
vanilla,10000,10,1,581.000,0.036166
vanilla,10000,10,1,582.000,0.036333
vanilla,10000,10,1,582.000,0.036500
vanilla,10000,10,1,583.000,0.036666
vanilla,10000,10,1,583.000,0.036833
vanilla,10000,10,1,584.000,0.037000
vanilla,10000,10,1,585.000,0.037166
vanilla,10000,10,1,585.000,0.037333
vanilla,10000,10,1,586.000,0.037500
vanilla,10000,10,1,587.000,0.037666
vanilla,10000,10,1,587.000,0.037833
vanilla,10000,10,1,588.000,0.038000
vanilla,10000,10,1,588.000,0.038166
vanilla,10000,10,1,589.000,0.038333
vanilla,10000,10,1,589.000,0.038500
vanilla,10000,10,1,590.000,0.038666
vanilla,10000,10,1,591.000,0.038833
vanilla,10000,10,1,591.000,0.039000
vanilla,10000,10,1,592.000,0.039166
vanilla,10000,10,1,593.000,0.039333
vanilla,10000,10,1,593.000,0.039500
vanilla,10000,10,1,594.000,0.039666
vanilla,10000,10,1,595.000,0.039833
vanilla,10000,10,1,595.000,0.040000
vanilla,10000,10,1,595.000,0.040166
vanilla,10000,10,1,596.000,0.040333
vanilla,10000,10,1,596.000,0.040500
vanilla,10000,10,1,597.000,0.040666
vanilla,10000,10,1,597.000,0.040833
vanilla,10000,10,1,598.000,0.041000
vanilla,10000,10,1,598.000,0.041166
vanilla,10000,10,1,599.000,0.041333
vanilla,10000,10,1,600.000,0.041500
vanilla,10000,10,1,600.000,0.041666
vanilla,10000,10,1,601.000,0.041833
vanilla,10000,10,1,601.000,0.042000
vanilla,10000,10,1,602.000,0.042166
vanilla,10000,10,1,602.000,0.042333
vanilla,10000,10,1,603.000,0.042500
vanilla,10000,10,1,604.000,0.042666
vanilla,10000,10,1,604.000,0.042833
vanilla,10000,10,1,605.000,0.043000
vanilla,10000,10,1,605.000,0.043166
vanilla,10000,10,1,606.000,0.043333
vanilla,10000,10,1,606.000,0.043500
vanilla,10000,10,1,607.000,0.043666
vanilla,10000,10,1,607.000,0.043833
vanilla,10000,10,1,608.000,0.044000
vanilla,10000,10,1,608.000,0.044166
vanilla,10000,10,1,609.000,0.044333
vanilla,10000,10,1,609.000,0.044500
vanilla,10000,10,1,610.000,0.044666
vanilla,10000,10,1,611.000,0.044833
vanilla,10000,10,1,611.000,0.045000
vanilla,10000,10,1,612.000,0.045166
vanilla,10000,10,1,612.000,0.045333
vanilla,10000,10,1,613.000,0.045500
vanilla,10000,10,1,613.000,0.045666
vanilla,10000,10,1,614.000,0.045833
vanilla,10000,10,1,614.000,0.046000
vanilla,10000,10,1,615.000,0.046166
vanilla,10000,10,1,615.000,0.046333
vanilla,10000,10,1,616.000,0.046500
vanilla,10000,10,1,616.000,0.046666
vanilla,10000,10,1,617.000,0.046833
vanilla,10000,10,1,618.000,0.047000
vanilla,10000,10,1,618.000,0.047166
vanilla,10000,10,1,618.000,0.047333
vanilla,10000,10,1,619.000,0.047500
vanilla,10000,10,1,620.000,0.047666
vanilla,10000,10,1,620.000,0.047833
vanilla,10000,10,1,621.000,0.048000
vanilla,10000,10,1,621.000,0.048166
vanilla,10000,10,1,622.000,0.048333
vanilla,10000,10,1,623.000,0.048500
vanilla,10000,10,1,623.000,0.048666
vanilla,10000,10,1,623.000,0.048833
vanilla,10000,10,1,624.000,0.049000
vanilla,10000,10,1,624.000,0.049166
vanilla,10000,10,1,625.000,0.049333
