label,connections,duration,trials,avg_rps,std_rps,avg_p50_us,std_p50_us,avg_p99_us,std_p99_us,avg_transfer_kbps,std_transfer_kbps
vanilla,100,30s,1,97695.29,0.00,17890000.00,0.00,26850000.00,0.00,16793.60,0.00
vanilla,1000,30s,1,92473.89,0.00,17970000.00,0.00,26130000.00,0.00,15892.48,0.00
