label,rps_target,connections,duration,trials,avg_p50_us,std_p50_us,avg_p99_us,std_p99_us,avg_p999_us,std_p999_us,avg_mean_us,std_mean_us,avg_actual_rps,std_actual_rps,avg_transfer_kbps,std_transfer_kbps
vanilla,10000,10,30s,3,1353.33,23.57,3396.67,403.02,4803.33,942.84,1418.67,34.72,9998.96,0.08,1720.32,0.00
vanilla,10000,50,30s,3,1456.67,12.47,2900.00,8.16,3276.67,20.55,1537.67,12.04,9990.85,0.17,1720.32,0.00
vanilla,10000,100,30s,3,1460.00,45.46,2976.67,97.41,3473.33,150.63,1536.00,36.34,9954.35,37.08,1713.49,9.65
vanilla,10000,500,30s,3,2830.00,109.85,7790.00,1374.21,11060.00,907.45,3043.00,79.65,9725.43,0.06,1669.12,0.00
vanilla,10000,1000,30s,3,3193.33,134.74,10350.00,467.83,14436.67,1707.32,3389.00,151.93,9660.44,0.11,1658.88,0.00
