label,concurrency,trials,avg_rps,std_rps,avg_mean_us,std_mean_us,avg_p50_us,std_p50_us,avg_p90_us,std_p90_us,avg_p95_us,std_p95_us,avg_p99_us,std_p99_us,avg_max_us,std_max_us,avg_transfer_kbps,std_transfer_kbps
kloudknox,500,1,27505.72,0.00,18178.000,0.000,13000.0,0.0,37000.0,0.0,40000.0,0.0,44000.0,0.0,262000.0,0.0,4727.55,0.00
kloudknox,1000,3,30014.66,116.14,33317.333,128.894,26333.3,471.4,62666.7,1247.2,68666.7,471.4,76666.7,471.4,469666.7,8498.4,5158.77,19.96
kloudknox,2000,3,34383.97,190.20,58168.333,320.662,52666.7,471.4,83333.3,471.4,89333.3,471.4,258000.0,13952.3,758000.0,25152.9,5909.74,32.69
kloudknox,4000,3,43229.04,715.78,92556.000,1544.832,91000.0,2160.2,121000.0,816.5,147666.7,2494.4,324666.7,3681.8,1773333.3,169179.1,7429.99,123.03
kloudknox,6000,3,42993.96,2602.54,140047.333,8148.259,111000.0,1414.2,220000.0,51400.4,321666.7,20237.5,506666.7,68747.5,10429666.7,3432396.9,7389.59,447.31
