label,connections,trial,duration,rps,p50_us,p75_us,p90_us,p99_us,lat_avg_us,lat_sd_us,total_reqs,transfer_kbps,errors
kloudknox,100,1,30s,100749.62,18140000.00,22510000.00,25150000.00,26740000.00,18028623.00,5176500.00,3022431,17315.84,0
kloudknox,1000,1,30s,99965.98,17450000.00,21810000.00,24400000.00,25890000.00,17516256.00,4911962.00,2998917,17182.72,0
