label,rps_target,connections,trial,latency_us,percentile
kloudknox,10000,10,1,562.000,0.024000
kloudknox,10000,10,1,563.000,0.024166
kloudknox,10000,10,1,565.000,0.024333
kloudknox,10000,10,1,566.000,0.024500
kloudknox,10000,10,1,567.000,0.024666
kloudknox,10000,10,1,567.000,0.024833
kloudknox,10000,10,1,568.000,0.025000
kloudknox,10000,10,1,569.000,0.025166
kloudknox,10000,10,1,570.000,0.025333
kloudknox,10000,10,1,570.000,0.025500
kloudknox,10000,10,1,571.000,0.025666
kloudknox,10000,10,1,572.000,0.025833
kloudknox,10000,10,1,573.000,0.026000
kloudknox,10000,10,1,574.000,0.026166
kloudknox,10000,10,1,574.000,0.026333
kloudknox,10000,10,1,575.000,0.026500
kloudknox,10000,10,1,576.000,0.026666
kloudknox,10000,10,1,577.000,0.026833
kloudknox,10000,10,1,577.000,0.027000
kloudknox,10000,10,1,578.000,0.027166
kloudknox,10000,10,1,579.000,0.027333
kloudknox,10000,10,1,580.000,0.027500
kloudknox,10000,10,1,581.000,0.027666
kloudknox,10000,10,1,582.000,0.027833
kloudknox,10000,10,1,582.000,0.028000
kloudknox,10000,10,1,583.000,0.028166
kloudknox,10000,10,1,584.000,0.028333
kloudknox,10000,10,1,585.000,0.028500
kloudknox,10000,10,1,585.000,0.028666
kloudknox,10000,10,1,586.000,0.028833
kloudknox,10000,10,1,587.000,0.029000
kloudknox,10000,10,1,587.000,0.029166
kloudknox,10000,10,1,588.000,0.029333
kloudknox,10000,10,1,589.000,0.029500
kloudknox,10000,10,1,589.000,0.029666
kloudknox,10000,10,1,590.000,0.029833
kloudknox,10000,10,1,591.000,0.030000
kloudknox,10000,10,1,591.000,0.030166
kloudknox,10000,10,1,592.000,0.030333
kloudknox,10000,10,1,593.000,0.030500
kloudknox,10000,10,1,594.000,0.030666
kloudknox,10000,10,1,594.000,0.030833
kloudknox,10000,10,1,595.000,0.031000
kloudknox,10000,10,1,596.000,0.031166
kloudknox,10000,10,1,596.000,0.031333
kloudknox,10000,10,1,597.000,0.031500
kloudknox,10000,10,1,598.000,0.031666
kloudknox,10000,10,1,598.000,0.031833
kloudknox,10000,10,1,599.000,0.032000
kloudknox,10000,10,1,600.000,0.032166
kloudknox,10000,10,1,600.000,0.032333
kloudknox,10000,10,1,601.000,0.032500
kloudknox,10000,10,1,602.000,0.032666
kloudknox,10000,10,1,603.000,0.032833
kloudknox,10000,10,1,603.000,0.033000
kloudknox,10000,10,1,604.000,0.033166
kloudknox,10000,10,1,604.000,0.033333
kloudknox,10000,10,1,605.000,0.033500
kloudknox,10000,10,1,606.000,0.033666
kloudknox,10000,10,1,606.000,0.033833
kloudknox,10000,10,1,607.000,0.034000
kloudknox,10000,10,1,608.000,0.034166
kloudknox,10000,10,1,608.000,0.034333
kloudknox,10000,10,1,609.000,0.034500
kloudknox,10000,10,1,609.000,0.034666
kloudknox,10000,10,1,610.000,0.034833
kloudknox,10000,10,1,611.000,0.035000
kloudknox,10000,10,1,611.000,0.035166
kloudknox,10000,10,1,612.000,0.035333
kloudknox,10000,10,1,613.000,0.035500
kloudknox,10000,10,1,613.000,0.035666
kloudknox,10000,10,1,614.000,0.035833
kloudknox,10000,10,1,614.000,0.036000
kloudknox,10000,10,1,615.000,0.036166
kloudknox,10000,10,1,616.000,0.036333
kloudknox,10000,10,1,616.000,0.036500
kloudknox,10000,10,1,617.000,0.036666
kloudknox,10000,10,1,617.000,0.036833
kloudknox,10000,10,1,618.000,0.037000
kloudknox,10000,10,1,618.000,0.037166
kloudknox,10000,10,1,619.000,0.037333
kloudknox,10000,10,1,620.000,0.037500
kloudknox,10000,10,1,620.000,0.037666
kloudknox,10000,10,1,621.000,0.037833
kloudknox,10000,10,1,621.000,0.038000
kloudknox,10000,10,1,622.000,0.038166
kloudknox,10000,10,1,623.000,0.038333
kloudknox,10000,10,1,623.000,0.038500
kloudknox,10000,10,1,624.000,0.038666
kloudknox,10000,10,1,624.000,0.038833
kloudknox,10000,10,1,625.000,0.039000
kloudknox,10000,10,1,625.000,0.039166
kloudknox,10000,10,1,626.000,0.039333
kloudknox,10000,10,1,627.000,0.039500
kloudknox,10000,10,1,627.000,0.039666
kloudknox,10000,10,1,628.000,0.039833
kloudknox,10000,10,1,628.000,0.040000
kloudknox,10000,10,1,629.000,0.040166
kloudknox,10000,10,1,629.000,0.040333
kloudknox,10000,10,1,630.000,0.040500
kloudknox,10000,10,1,631.000,0.040666
kloudknox,10000,10,1,631.000,0.040833
kloudknox,10000,10,1,632.000,0.041000
kloudknox,10000,10,1,632.000,0.041166
kloudknox,10000,10,1,633.000,0.041333
kloudknox,10000,10,1,633.000,0.041500
kloudknox,10000,10,1,634.000,0.041666
kloudknox,10000,10,1,634.000,0.041833
kloudknox,10000,10,1,635.000,0.042000
kloudknox,10000,10,1,635.000,0.042166
kloudknox,10000,10,1,636.000,0.042333
kloudknox,10000,10,1,636.000,0.042500
kloudknox,10000,10,1,637.000,0.042666
kloudknox,10000,10,1,637.000,0.042833
kloudknox,10000,10,1,638.000,0.043000
kloudknox,10000,10,1,638.000,0.043166
kloudknox,10000,10,1,639.000,0.043333
kloudknox,10000,10,1,639.000,0.043500
kloudknox,10000,10,1,640.000,0.043666
kloudknox,10000,10,1,641.000,0.043833
kloudknox,10000,10,1,641.000,0.044000
kloudknox,10000,10,1,642.000,0.044166
kloudknox,10000,10,1,642.000,0.044333
kloudknox,10000,10,1,643.000,0.044500
kloudknox,10000,10,1,643.000,0.044666
kloudknox,10000,10,1,644.000,0.044833
kloudknox,10000,10,1,644.000,0.045000
kloudknox,10000,10,1,645.000,0.045166
kloudknox,10000,10,1,645.000,0.045333
kloudknox,10000,10,1,646.000,0.045500
kloudknox,10000,10,1,646.000,0.045666
kloudknox,10000,10,1,647.000,0.045833
kloudknox,10000,10,1,647.000,0.046000
kloudknox,10000,10,1,648.000,0.046166
kloudknox,10000,10,1,649.000,0.046333
kloudknox,10000,10,1,649.000,0.046500
kloudknox,10000,10,1,650.000,0.046666
kloudknox,10000,10,1,650.000,0.046833
kloudknox,10000,10,1,651.000,0.047000
kloudknox,10000,10,1,651.000,0.047166
kloudknox,10000,10,1,652.000,0.047333
kloudknox,10000,10,1,652.000,0.047500
kloudknox,10000,10,1,653.000,0.047666
kloudknox,10000,10,1,653.000,0.047833
kloudknox,10000,10,1,654.000,0.048000
kloudknox,10000,10,1,654.000,0.048166
kloudknox,10000,10,1,655.000,0.048333
kloudknox,10000,10,1,656.000,0.048500
kloudknox,10000,10,1,656.000,0.048666
kloudknox,10000,10,1,657.000,0.048833
kloudknox,10000,10,1,657.000,0.049000
kloudknox,10000,10,1,658.000,0.049166
kloudknox,10000,10,1,658.000,0.049333
kloudknox,10000,10,1,659.000,0.049500
kloudknox,10000,10,1,659.000,0.049666
kloudknox,10000,10,1,660.000,0.049833
kloudknox,10000,10,1,660.000,0.050000
kloudknox,10000,10,1,661.000,0.050166
kloudknox,10000,10,1,661.000,0.050333
kloudknox,10000,10,1,662.000,0.050499
kloudknox,10000,10,1,662.000,0.050666
kloudknox,10000,10,1,663.000,0.050833
kloudknox,10000,10,1,663.000,0.050999
kloudknox,10000,10,1,664.000,0.051166
kloudknox,10000,10,1,664.000,0.051333
kloudknox,10000,10,1,665.000,0.051499
kloudknox,10000,10,1,665.000,0.051666
kloudknox,10000,10,1,666.000,0.051833
kloudknox,10000,10,1,666.000,0.051999
kloudknox,10000,10,1,667.000,0.052166
kloudknox,10000,10,1,668.000,0.052333
kloudknox,10000,10,1,668.000,0.052499
kloudknox,10000,10,1,668.000,0.052666
kloudknox,10000,10,1,669.000,0.052833
kloudknox,10000,10,1,669.000,0.052999
kloudknox,10000,10,1,670.000,0.053166
kloudknox,10000,10,1,670.000,0.053333
kloudknox,10000,10,1,671.000,0.053499
kloudknox,10000,10,1,671.000,0.053666
kloudknox,10000,10,1,672.000,0.053833
kloudknox,10000,10,1,672.000,0.053999
kloudknox,10000,10,1,673.000,0.054166
kloudknox,10000,10,1,673.000,0.054333
kloudknox,10000,10,1,674.000,0.054499
kloudknox,10000,10,1,674.000,0.054666
kloudknox,10000,10,1,675.000,0.054833
kloudknox,10000,10,1,675.000,0.054999
kloudknox,10000,10,1,676.000,0.055166
kloudknox,10000,10,1,676.000,0.055333
kloudknox,10000,10,1,677.000,0.055499
kloudknox,10000,10,1,677.000,0.055666
kloudknox,10000,10,1,678.000,0.055833
kloudknox,10000,10,1,678.000,0.055999
kloudknox,10000,10,1,679.000,0.056166
kloudknox,10000,10,1,679.000,0.056333
kloudknox,10000,10,1,680.000,0.056499
kloudknox,10000,10,1,680.000,0.056666
kloudknox,10000,10,1,680.000,0.056833
kloudknox,10000,10,1,681.000,0.056999
kloudknox,10000,10,1,681.000,0.057166
kloudknox,10000,10,1,682.000,0.057333
kloudknox,10000,10,1,682.000,0.057499
kloudknox,10000,10,1,683.000,0.057666
kloudknox,10000,10,1,683.000,0.057833
kloudknox,10000,10,1,684.000,0.057999
kloudknox,10000,10,1,684.000,0.058166
kloudknox,10000,10,1,685.000,0.058333
kloudknox,10000,10,1,685.000,0.058499
kloudknox,10000,10,1,686.000,0.058666
kloudknox,10000,10,1,686.000,0.058833
kloudknox,10000,10,1,686.000,0.058999
kloudknox,10000,10,1,687.000,0.059166
kloudknox,10000,10,1,687.000,0.059333
kloudknox,10000,10,1,688.000,0.059499
kloudknox,10000,10,1,688.000,0.059666
kloudknox,10000,10,1,689.000,0.059833
kloudknox,10000,10,1,689.000,0.059999
kloudknox,10000,10,1,690.000,0.060166
