label,connections,trial,duration,rps,p50_us,p75_us,p90_us,p99_us,lat_avg_us,lat_sd_us,total_reqs,transfer_kbps,errors
tetragon,100,1,30s,82807.94,18420000.00,22970000.00,25660000.00,27280000.00,18392926.00,5266550.00,2484198,14233.60,0
tetragon,1000,1,30s,82050.77,18040000.00,22380000.00,24900000.00,26430000.00,18007805.00,4990010.00,2461508,14100.48,0
