label,connections,duration,trials,avg_rps,std_rps,avg_p50_us,std_p50_us,avg_p99_us,std_p99_us,avg_transfer_kbps,std_transfer_kbps
falco,10,30s,1,11854.91,0.00,19690000.00,0.00,29430000.00,0.00,2037.76,0.00
falco,50,30s,1,28617.47,0.00,19460000.00,0.00,28920000.00,0.00,4915.20,0.00
falco,100,30s,1,28208.71,0.00,19190000.00,0.00,28820000.00,0.00,4843.52,0.00
falco,500,30s,1,27532.27,0.00,19090000.00,0.00,28440000.00,0.00,4730.88,0.00
falco,1000,30s,1,27296.84,0.00,19020000.00,0.00,27930000.00,0.00,4689.92,0.00
