label,streams,trial,duration_s,sender_gbps,receiver_gbps,retransmits
tetragon,16,1,10,20.3792260756488,20.379150702480693,2
tetragon,32,1,10,20.4189019000798,20.418793752769382,0
tetragon,64,1,10,21.021919455513245,21.021695015237444,0
tetragon,128,1,10,18.722305408229722,18.721669299638226,0
tetragon,16,2,10,20.405659359764275,20.405551269478742,0
tetragon,32,2,10,20.148705578412997,20.14858075917712,0
tetragon,64,2,10,20.983267114238068,20.9830179740494,0
tetragon,128,2,10,18.974287028989213,18.973659891883194,0
