timestamp,rule_count,agent_cpu_pct,agent_mem_mb,node_cpu_pct,node_mem_used_mb,node_mem_total_mb
2026-02-12T22:06:07,10,101.17,507.4,2.9,2904,63960
2026-02-12T22:06:08,10,100.62,512.7,2.7,2908,63960
2026-02-12T22:06:09,10,100.62,517.2,2.7,2904,63960
2026-02-12T22:06:10,10,99.65,518.2,2.6,2902,63960
2026-02-12T22:06:11,10,34.88,489.3,1.6,2905,63960
2026-02-12T22:06:12,10,6.97,489.3,0.9,2897,63960
2026-02-12T22:06:13,10,5.97,489.3,0.8,2890,63960
2026-02-12T22:06:14,10,5.97,489.3,0.8,2887,63960
2026-02-12T22:06:15,10,5.97,484.7,0.9,2877,63960
2026-02-12T22:06:16,10,5.97,484.7,1.3,2869,63960
