timestamp,rule_count,agent_cpu_pct,agent_mem_mb,node_cpu_pct,node_mem_used_mb,node_mem_total_mb
2026-02-12T22:13:44,100,68.77,457.8,2.7,2828,63960
2026-02-12T22:13:45,100,77.95,457.8,3.2,2830,63960
2026-02-12T22:13:46,100,76.82,457.8,3.8,2816,63960
2026-02-12T22:13:47,100,78.93,457.8,3.0,2811,63960
2026-02-12T22:13:48,100,78.95,457.8,3.1,2804,63960
2026-02-12T22:13:49,100,75.94,457.8,3.1,2803,63960
2026-02-12T22:13:50,100,74.89,457.8,3.1,2797,63960
2026-02-12T22:13:51,100,75.95,458.1,3.2,2802,63960
2026-02-12T22:13:52,100,75.87,458.1,3.2,2800,63960
2026-02-12T22:13:53,100,72.94,458.1,3.0,2796,63960
