label,concurrency,rule_count,trial,total_reqs,rps,mean_us,p50_us,p90_us,p95_us,p99_us,max_us,failed,transfer_kbps
falco,10,50,3,50000,18112.77,552.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,3024.69
falco,50,50,1,50000,18233.07,2742.0,3000.0,3000.0,3000.0,3000.0,5000.0,0,3044.78
falco,50,50,2,50000,18260.81,2738.0,3000.0,3000.0,3000.0,3000.0,4000.0,0,3049.41
falco,50,50,3,50000,18186.06,2749.0,3000.0,3000.0,3000.0,3000.0,4000.0,0,3036.93
falco,100,50,1,50000,18024.96,5548.0,6000.0,6000.0,6000.0,6000.0,7000.0,0,3010.03
falco,100,50,2,50000,17931.31,5577.0,6000.0,6000.0,6000.0,6000.0,7000.0,0,2994.39
falco,100,50,3,50000,17958.36,5568.0,6000.0,6000.0,6000.0,6000.0,7000.0,0,2998.91
falco,1,100,1,36456,3645.55,274.0,0.0,0.0,0.0,0.0,1000.0,0,608.78
falco,1,100,2,36527,3652.69,274.0,0.0,0.0,0.0,0.0,1000.0,0,609.97
falco,1,100,3,36340,3633.96,275.0,0.0,0.0,0.0,0.0,1000.0,0,606.84
falco,5,100,1,50000,16617.74,301.0,0.0,0.0,0.0,0.0,1000.0,0,2775.03
falco,5,100,2,50000,16699.39,299.0,0.0,0.0,0.0,0.0,1000.0,0,2788.67
falco,5,100,3,50000,16403.62,305.0,0.0,0.0,0.0,0.0,1000.0,0,2739.28
falco,10,100,1,50000,18255.64,548.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,3048.55
falco,10,100,2,50000,18159.29,551.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,3032.46
falco,10,100,3,50000,17933.46,558.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,2994.75
falco,50,100,1,50000,18234.70,2742.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,3045.05
falco,50,100,2,50000,18194.92,2748.0,3000.0,3000.0,3000.0,3000.0,4000.0,0,3038.41
falco,50,100,3,50000,18274.88,2736.0,3000.0,3000.0,3000.0,3000.0,4000.0,0,3051.76
falco,100,100,1,50000,18294.17,5466.0,5000.0,6000.0,6000.0,6000.0,7000.0,0,3054.98
falco,100,100,2,50000,17988.80,5559.0,6000.0,6000.0,6000.0,6000.0,7000.0,0,3003.99
falco,100,100,3,50000,18071.41,5534.0,5000.0,6000.0,6000.0,6000.0,7000.0,0,3017.78
