timestamp,rule_count,agent_cpu_pct,agent_mem_mb,node_cpu_pct,node_mem_used_mb,node_mem_total_mb
2026-02-12T22:02:05,5,100.19,507.0,2.8,2883,63960
2026-02-12T22:02:06,5,100.54,511.9,3.2,2883,63960
2026-02-12T22:02:07,5,100.54,511.7,2.7,2880,63960
2026-02-12T22:02:08,5,99.63,517.7,3.3,2875,63960
2026-02-12T22:02:09,5,33.88,499.1,1.3,2850,63960
2026-02-12T22:02:10,5,4.98,499.5,0.6,2844,63960
2026-02-12T22:02:11,5,5.98,499.0,0.9,2865,63960
2026-02-12T22:02:12,5,3.99,490.0,0.6,2858,63960
2026-02-12T22:02:13,5,4.98,490.0,0.6,2853,63960
2026-02-12T22:02:14,5,3.98,490.0,0.7,2847,63960
