label,rule_count,trials,avg_ops_sec,std_ops_sec,avg_latency_us,std_latency_us
vanilla,10,3,2034.8,15.2,491.48,3.65
vanilla,50,3,1971.5,36.8,507.39,9.52
vanilla,100,3,1984.4,52.5,504.29,13.59
vanilla,500,3,1998.0,16.9,500.55,4.26
vanilla,1000,3,2015.7,4.4,496.11,1.08
