label,concurrency,trials,avg_rps,std_rps,avg_mean_ms,std_mean_ms,avg_p50_ms,std_p50_ms,avg_p90_ms,std_p90_ms,avg_p95_ms,std_p95_ms,avg_p99_ms,std_p99_ms,avg_max_ms,std_max_ms,avg_transfer_kbps,std_transfer_kbps
tetragon,100,3,26948.94,163.11,3.712,0.023,2.0,0.0,4.0,0.0,16.0,4.2,33.7,5.0,43.3,5.7,4631.85,28.03
tetragon,200,3,25783.98,97.34,7.755,0.027,5.0,0.0,19.7,2.1,30.0,2.4,36.7,1.7,52.3,4.2,4431.62,16.73
tetragon,300,3,26293.85,311.48,11.398,0.134,8.3,0.9,31.7,4.0,36.7,4.0,40.7,3.3,59.7,9.5,4519.26,53.54
tetragon,400,3,26943.98,206.51,14.840,0.109,11.3,0.5,40.0,0.0,44.0,0.8,48.0,1.6,257.0,11.9,4630.99,35.50
tetragon,500,3,27617.69,268.02,18.080,0.177,14.3,0.9,34.0,0.8,36.7,0.9,41.3,0.5,258.7,2.6,4746.79,46.06
