timestamp,rule_count,agent_cpu_pct,agent_mem_mb,node_cpu_pct,node_mem_used_mb,node_mem_total_mb
2026-02-12T22:22:12,5,22.05,147.0,1.0,2715,63960
2026-02-12T22:22:13,5,17.91,147.0,1.1,2711,63960
2026-02-12T22:22:14,5,16.94,147.0,1.6,2710,63960
2026-02-12T22:22:15,5,17.94,147.0,1.0,2726,63960
2026-02-12T22:22:16,5,16.93,147.0,1.0,2723,63960
2026-02-12T22:22:17,5,17.94,147.0,0.8,2720,63960
2026-02-12T22:22:18,5,16.93,147.0,1.0,2719,63960
2026-02-12T22:22:19,5,16.92,147.0,1.0,2717,63960
2026-02-12T22:22:20,5,17.91,147.0,1.1,2716,63960
2026-02-12T22:22:21,5,17.92,147.0,1.2,2725,63960
