label,concurrency,rule_count,trial,total_reqs,rps,mean_us,p50_us,p90_us,p95_us,p99_us,max_us,failed,transfer_kbps
kloudknox,5,50,3,50000,15257.72,328.0,0.0,0.0,0.0,0.0,1000.0,0,2547.92
kloudknox,10,50,1,50000,16388.39,610.0,1000.0,1000.0,1000.0,1000.0,2000.0,0,2736.73
kloudknox,10,50,2,50000,16329.58,612.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,2726.91
kloudknox,10,50,3,50000,16468.94,607.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,2750.18
kloudknox,50,50,1,50000,16317.72,3064.0,3000.0,3000.0,3000.0,4000.0,4000.0,0,2724.93
kloudknox,50,50,2,50000,16294.99,3068.0,3000.0,3000.0,3000.0,4000.0,4000.0,0,2721.14
kloudknox,50,50,3,50000,16387.49,3051.0,3000.0,3000.0,3000.0,4000.0,4000.0,0,2736.58
kloudknox,100,50,1,50000,16324.57,6126.0,6000.0,6000.0,6000.0,7000.0,7000.0,0,2726.08
kloudknox,100,50,2,50000,16150.99,6192.0,6000.0,6000.0,7000.0,7000.0,8000.0,0,2697.09
kloudknox,100,50,3,50000,16224.02,6164.0,6000.0,6000.0,6000.0,7000.0,8000.0,0,2709.28
kloudknox,1,100,1,34330,3432.97,291.0,0.0,0.0,0.0,0.0,1000.0,0,573.28
kloudknox,1,100,2,34498,3449.78,290.0,0.0,0.0,0.0,0.0,1000.0,0,576.09
kloudknox,1,100,3,34582,3458.17,289.0,0.0,0.0,0.0,0.0,2000.0,0,577.49
kloudknox,5,100,1,50000,15235.82,328.0,0.0,0.0,0.0,0.0,1000.0,0,2544.26
kloudknox,5,100,2,50000,15125.07,331.0,0.0,0.0,0.0,0.0,1000.0,0,2525.77
kloudknox,5,100,3,50000,15206.46,329.0,0.0,0.0,0.0,0.0,1000.0,0,2539.36
kloudknox,10,100,1,50000,16397.03,610.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,2738.18
kloudknox,10,100,2,50000,16325.28,613.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,2726.19
kloudknox,10,100,3,50000,16415.96,609.0,1000.0,1000.0,1000.0,1000.0,2000.0,0,2741.34
kloudknox,50,100,1,50000,16411.78,3047.0,3000.0,3000.0,3000.0,4000.0,4000.0,0,2740.64
kloudknox,50,100,2,50000,16403.56,3048.0,3000.0,3000.0,3000.0,4000.0,4000.0,0,2739.27
kloudknox,50,100,3,50000,16441.67,3041.0,3000.0,3000.0,3000.0,4000.0,6000.0,0,2745.63
kloudknox,100,100,1,50000,16321.62,6127.0,6000.0,6000.0,6000.0,7000.0,7000.0,0,2725.58
kloudknox,100,100,2,50000,16299.79,6135.0,6000.0,6000.0,6000.0,7000.0,7000.0,0,2721.94
kloudknox,100,100,3,50000,16178.72,6181.0,6000.0,6000.0,6000.0,7000.0,8000.0,0,2701.72
