label,rule_count,trials,avg_ops_sec,std_ops_sec,avg_latency_us,std_latency_us
tetragon,10,3,1970.7,21.9,507.50,5.59
tetragon,50,3,1988.5,22.1,502.96,5.64
tetragon,100,3,1987.3,22.9,503.26,5.85
tetragon,500,3,2002.4,0.5,499.41,0.13
tetragon,1000,3,1973.5,40.0,506.92,10.41
